sub_id	onset	duration	trial_type	response_time	task_type	update_cond	cate_c	cate_b	cate_o	response_type	response	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	grate_orientation
5	2.012	3.000	forget	0.428	retrieval	restudy	object	face	scene	competitor	face	1	1	7	55	155	7	2.0	n/a
5	7.046	4.982	correct	4.982	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	1	n/a	n/a	n/a	n/a	n/a	right
5	12.545	0.100	incorrect	0.100	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	1	n/a	n/a	n/a	n/a	n/a	right
5	14.011	3.000	forget	0.572	retrieval	restudy	face	scene	object	competitor	scene	2	1	99	27	75	203	14.0	n/a
5	19.045	2.038	correct	2.038	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	right
5	21.594	1.072	correct	1.072	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	right
5	23.194	1.072	correct	1.072	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	left
5	24.777	0.100	incorrect	0.100	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	1	n/a	n/a	n/a	n/a	n/a	right
5	26.010	3.000	remember	0.460	retrieval	restudy	face	object	scene	target	face	3	1	49	1	49	101	26.0	n/a
5	31.044	0.975	correct	0.975	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	right
5	32.527	0.788	correct	0.788	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	right
5	33.827	1.392	correct	1.392	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	left
5	35.727	0.783	incorrect	0.783	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	1	n/a	n/a	n/a	n/a	n/a	right
5	38.009	3.000	remember	0.789	retrieval	retprac	object	scene	face	target	object	4	1	122	74	174	226	38.0	n/a
5	43.043	1.295	correct	1.295	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	left
5	44.859	0.736	correct	0.736	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	1	n/a	n/a	n/a	n/a	n/a	right
