sub_id	onset	duration	trial_type	response_time	task_type	update_cond	cate_c	cate_b	cate_o	response_type	response	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	grate_orientation
18	2.010	3.000	remember	0.309	retrieval	restudy	object	scene	face	target	object	1	1	128	80	180	232	2.0	n/a
18	14.009	3.000	forget	0.374	retrieval	restudy	object	face	scene	competitor	face	2	1	6	54	154	6	14.0	n/a
18	26.024	3.000	remember	0.526	retrieval	restudy	scene	face	object	target	scene	3	1	32	104	256	32	26.0	n/a
18	38.006	3.000	forget	0.639	retrieval	retprac	face	object	scene	competitor	object	4	1	55	7	55	107	38.0	n/a
18	50.022	3.000	remember	0.416	retrieval	restudy	face	scene	object	target	face	5	1	102	30	78	206	50.0	n/a
18	62.020	3.000	forget	0.664	retrieval	retprac	scene	object	face	other	face	6	1	73	121	273	125	62.0	n/a
18	74.019	3.000	forget	0.585	retrieval	retprac	scene	face	object	competitor	face	7	1	25	97	249	25	74.0	n/a
18	86.018	3.000	forget	0.722	retrieval	retprac	scene	face	object	competitor	face	8	1	27	99	251	27	86.0	n/a
18	98.017	3.000	don't know	0.611	retrieval	restudy	scene	object	face	don't know	don't know	9	1	76	124	276	128	98.0	n/a
18	110.016	3.000	forget	0.707	retrieval	retprac	scene	object	face	competitor	object	10	1	79	127	279	131	110.0	n/a
18	122.014	3.000	forget	0.972	retrieval	restudy	face	object	scene	other	scene	11	1	56	8	56	108	122.0	n/a
18	134.013	3.000	forget	0.573	retrieval	restudy	object	scene	face	competitor	scene	12	1	126	78	178	230	134.0	n/a
18	146.012	3.000	no response	n/a	retrieval	retprac	object	scene	face	no response	no response	13	1	121	73	173	225	146.0	n/a
18	158.011	3.000	forget	0.358	retrieval	retprac	object	face	scene	competitor	face	14	1	3	51	151	3	158.0	n/a
18	170.009	3.000	remember	0.408	retrieval	retprac	scene	face	object	target	scene	15	1	31	103	255	31	170.0	n/a
18	182.008	3.000	remember	0.360	retrieval	retprac	face	object	scene	target	face	16	1	51	3	51	103	182.0	n/a
18	194.007	3.000	forget	0.800	retrieval	restudy	object	scene	face	other	face	17	1	124	76	176	228	194.0	n/a
18	206.006	3.000	remember	0.465	retrieval	retprac	object	face	scene	target	object	18	1	1	49	149	1	206.0	n/a
18	218.021	3.000	forget	0.553	retrieval	retprac	object	scene	face	competitor	scene	19	1	123	75	175	227	218.0	n/a
18	230.020	3.000	remember	0.418	retrieval	retprac	face	object	scene	target	face	20	1	53	5	53	105	230.0	n/a
18	242.019	3.000	forget	0.570	retrieval	restudy	face	object	scene	competitor	object	21	1	52	4	52	104	242.0	n/a
18	254.018	3.000	remember	0.419	retrieval	restudy	face	object	scene	target	face	22	1	54	6	54	106	254.0	n/a
18	266.016	3.000	remember	0.613	retrieval	retprac	object	scene	face	target	object	23	1	125	77	177	229	266.0	n/a
18	278.015	3.000	remember	0.461	retrieval	restudy	face	object	scene	target	face	24	1	50	2	50	102	278.0	n/a
18	290.014	3.000	remember	0.390	retrieval	restudy	face	scene	object	target	face	25	1	100	28	76	204	290.0	n/a
18	302.013	3.000	remember	0.534	retrieval	retprac	object	scene	face	target	object	26	1	127	79	179	231	302.0	n/a
18	314.011	3.000	remember	0.383	retrieval	restudy	scene	object	face	target	scene	27	1	78	126	278	130	314.0	n/a
18	326.010	3.000	remember	0.577	retrieval	retprac	face	object	scene	target	face	28	1	49	1	49	101	326.0	n/a
18	338.009	3.000	remember	0.784	retrieval	restudy	scene	object	face	target	scene	29	1	74	122	274	126	338.0	n/a
18	350.008	3.000	forget	0.457	retrieval	restudy	face	scene	object	competitor	scene	30	1	104	32	80	208	350.0	n/a
18	362.007	3.000	remember	0.474	retrieval	restudy	face	scene	object	target	face	31	1	98	26	74	202	362.0	n/a
18	374.022	3.000	forget	0.450	retrieval	restudy	scene	face	object	other	object	32	1	30	102	254	30	374.0	n/a
18	386.021	3.000	remember	0.299	retrieval	retprac	face	scene	object	target	face	33	1	97	25	73	201	386.0	n/a
