sub_id	restudy_target	restudy_competitor	restudy_other	restudy_no_response	restudy_don_t_know	retprac_target	retprac_competitor	retprac_other	retprac_no_response	retprac_don_t_know	restudy_median_response_time	retprac_median_response_time	restudy_median_correct_response_latency	retprac_median_correct_response_latency	target_diff	competitor_diff	median_correct_response_latency_diff	target-recall benefit	competitor-intrusion reduction
1	0.26389	0.45833	0.26389	0.01389	0.0	0.33333	0.38889	0.20833	0.06944	0.0	0.604	0.5845	0.604	0.5845	-0.06944	0.06944	0.019499999999999962	0.06944	0.06944
2	0.48611	0.40278	0.11111	0.0	0.0	0.43056	0.43056	0.13889	0.0	0.0	0.295	0.304	0.295	0.304	0.05554999999999999	-0.02777999999999997	-0.009000000000000008	-0.05554999999999999	-0.02777999999999997
3	0.41667	0.375	0.19444	0.0	0.01389	0.52778	0.18056	0.19444	0.05556	0.04167	0.3635	0.3565	0.3635	0.3565	-0.11111000000000004	0.19444	0.007000000000000006	0.11111000000000004	0.19444
4	0.30556	0.375	0.27778	0.01389	0.02778	0.54167	0.27778	0.15278	0.0	0.02778	0.329	0.296	0.329	0.296	-0.23611	0.09721999999999997	0.03300000000000003	0.23611	0.09721999999999997
5	0.29167	0.43056	0.25	0.01389	0.01389	0.41667	0.36111	0.13889	0.05556	0.02778	0.459	0.4135	0.459	0.4135	-0.125	0.06945000000000001	0.04550000000000004	0.125	0.06945000000000001
6	0.29167	0.375	0.13889	0.0	0.19444	0.31944	0.41667	0.18056	0.0	0.08333	0.345	0.33	0.345	0.33	-0.027770000000000017	-0.041669999999999985	0.014999999999999958	0.027770000000000017	-0.041669999999999985
7	0.44444	0.30556	0.20833	0.01389	0.02778	0.54167	0.25	0.13889	0.04167	0.02778	0.3065	0.331	0.3065	0.331	-0.09722999999999998	0.05556	-0.024500000000000022	0.09722999999999998	0.05556
8	0.47222	0.43056	0.09722	0.0	0.0	0.55556	0.41667	0.01389	0.01389	0.0	0.3605	0.3005	0.3605	0.3005	-0.08334000000000008	0.013890000000000013	0.06	0.08334000000000008	0.013890000000000013
9	0.375	0.34722	0.25	0.01389	0.01389	0.51389	0.31944	0.15278	0.01389	0.0	0.423	0.406	0.423	0.406	-0.13888999999999996	0.02777999999999997	0.01699999999999996	0.13888999999999996	0.02777999999999997
10	0.44444	0.375	0.16667	0.01389	0.0	0.47222	0.375	0.15278	0.0	0.0	0.3389999999999999	0.3395	0.3389999999999999	0.3395	-0.02777999999999997	0.0	-0.0005000000000001115	0.02777999999999997	0.0
11	0.31944	0.26389	0.20833	0.15278	0.05556	0.38889	0.23611	0.29167	0.04167	0.04167	0.569	0.4629999999999999	0.569	0.4629999999999999	-0.06945000000000001	0.027780000000000027	0.10600000000000004	0.06945000000000001	0.027780000000000027
12	0.26389	0.52778	0.16667	0.04167	0.0	0.44444	0.23611	0.22222	0.09722	0.0	0.427	0.45	0.427	0.45	-0.18055	0.29167000000000004	-0.02300000000000002	0.18055	0.29167000000000004
13	0.31944	0.30556	0.26389	0.08333	0.02778	0.41667	0.23611	0.26389	0.06944	0.01389	0.459	0.33	0.459	0.33	-0.09722999999999998	0.06945000000000001	0.129	0.09722999999999998	0.06945000000000001
14	0.29167	0.33333	0.26389	0.05556	0.05556	0.34722	0.26389	0.30556	0.05556	0.02778	0.51	0.49	0.51	0.49	-0.05554999999999999	0.06944	0.020000000000000018	0.05554999999999999	0.06944
15	0.23611	0.34722	0.15278	0.08333	0.18056	0.41667	0.27778	0.09722	0.01389	0.19444	0.388	0.369	0.388	0.369	-0.18056	0.06943999999999995	0.019000000000000017	0.18056	0.06943999999999995
16	0.26389	0.34722	0.05556	0.04167	0.29167	0.41667	0.27778	0.11111	0.02778	0.16667	0.49	0.3645	0.49	0.3645	-0.15277999999999997	0.06943999999999995	0.1255	0.15277999999999997	0.06943999999999995
17	0.38889	0.375	0.13889	0.09722	0.0	0.48611	0.34722	0.15278	0.01389	0.0	0.583	0.529	0.583	0.529	-0.09721999999999997	0.027780000000000027	0.05399999999999994	0.09721999999999997	0.027780000000000027
18	0.44444	0.44444	0.09722	0.0	0.01389	0.5	0.38889	0.09722	0.01389	0.0	0.3845	0.4024999999999999	0.3845	0.4024999999999999	-0.05556	0.05554999999999999	-0.017999999999999905	0.05556	0.05554999999999999
19	0.375	0.26389	0.31944	0.01389	0.02778	0.41667	0.22222	0.29167	0.05556	0.01389	0.549	0.5215000000000001	0.549	0.5215000000000001	-0.041669999999999985	0.04167000000000001	0.02749999999999997	0.041669999999999985	0.04167000000000001
Mean	0.35234	0.37281				0.44664	0.31067						0.43074	0.399				0.0943	0.06213999999999997
SD	0.08048	0.06681				0.07191	0.07736						0.09752	0.08579				-0.008569999999999994	-0.010550000000000004
Mean Paired Difference															-0.09429947368421054	0.0621342105263158	0.031736842105263154		
t statistic															-6.16243	3.61854	3.00450		
p value															0.00001	0.00196	0.00761		
Cohen's d															-1.41376	0.83015	0.68928		
95% Confidence Interval															(-0.12645, -0.06215)	(0.02606, 0.09821)	(0.00954, 0.05393)		
