sub_id	run_id	restudy_target	retrieval_target	restudy_competitor	retrieval_competitor	restudy_median_correct_response_latency	retrieval_median_correct_response_latency
1	1	0.20833	0.25	0.375	0.45833	0.579	0.624
1	2	0.29167	0.29167	0.54167	0.33333	0.657	0.654
1	3	0.29167	0.45833	0.45833	0.375	0.744	0.465
2	1	0.41667	0.20833	0.45833	0.625	0.2825	0.272
2	2	0.58333	0.54167	0.33333	0.41667	0.2965	0.305
2	3	0.45833	0.54167	0.41667	0.25	0.302	0.303
3	1	0.375	0.625	0.33333	0.16667	0.492	0.353
3	2	0.54167	0.41667	0.29167	0.20833	0.394	0.3585
3	3	0.33333	0.54167	0.5	0.16667	0.3215	0.357
4	1	0.375	0.54167	0.29167	0.33333	0.357	0.37
4	2	0.25	0.54167	0.45833	0.20833	0.3255	0.287
4	3	0.29167	0.54167	0.375	0.29167	0.33	0.291
5	1	0.375	0.5	0.375	0.20833	0.65	0.435
5	2	0.20833	0.375	0.5	0.375	0.336	0.399
5	3	0.29167	0.375	0.41667	0.5	0.453	0.383
6	1	0.20833	0.375	0.41667	0.45833	0.346	0.314
6	2	0.25	0.29167	0.375	0.45833	0.3205	0.34
6	3	0.41667	0.29167	0.33333	0.33333	0.3465	0.338
7	1	0.58333	0.5	0.20833	0.25	0.3025	0.3105
7	2	0.33333	0.58333	0.29167	0.29167	0.3365	0.3475
7	3	0.41667	0.54167	0.41667	0.20833	0.2945	0.354
8	1	0.45833	0.54167	0.41667	0.45833	0.503	0.337
8	2	0.45833	0.54167	0.45833	0.41667	0.334	0.276
8	3	0.5	0.58333	0.41667	0.375	0.351	0.2945
9	1	0.45833	0.54167	0.29167	0.25	0.34	0.394
9	2	0.41667	0.54167	0.29167	0.33333	0.445	0.4
9	3	0.25	0.45833	0.45833	0.375	0.47550000000000003	0.464
10	1	0.5	0.20833	0.29167	0.5	0.33	0.414
10	2	0.5	0.625	0.33333	0.33333	0.3375	0.338
10	3	0.33333	0.58333	0.5	0.29167	0.3455	0.3365
11	1	0.375	0.45833	0.29167	0.25	0.603	0.562
11	2	0.33333	0.33333	0.33333	0.29167	0.5235000000000001	0.40449999999999997
11	3	0.25	0.375	0.16667	0.16667	0.5705	0.45
12	1	0.41667	0.375	0.375	0.20833	0.444	0.348
12	2	0.33333	0.41667	0.41667	0.29167	0.4385	0.435
12	3	0.04167	0.54167	0.79167	0.20833	0.38	0.529
13	1	0.375	0.54167	0.20833	0.04167	0.459	0.334
13	2	0.375	0.375	0.33333	0.33333	0.505	0.282
13	3	0.20833	0.33333	0.375	0.33333	0.435	0.4325
14	1	0.33333	0.41667	0.29167	0.29167	0.6499999999999999	0.5469999999999999
14	2	0.25	0.33333	0.33333	0.29167	0.429	0.4925
14	3	0.29167	0.29167	0.375	0.20833	0.5	0.416
15	1	0.20833	0.41667	0.375	0.20833	0.424	0.5315000000000001
15	2	0.33333	0.375	0.29167	0.33333	0.40800000000000003	0.324
15	3	0.16667	0.45833	0.375	0.29167	0.3865	0.347
16	1	0.25	0.41667	0.5	0.29167	0.5065	0.33899999999999997
16	2	0.33333	0.5	0.25	0.25	0.5435	0.32599999999999996
16	3	0.20833	0.33333	0.29167	0.29167	0.421	0.3765
17	1	0.41667	0.41667	0.375	0.33333	0.7175	0.549
17	2	0.25	0.41667	0.45833	0.41667	0.475	0.5375000000000001
17	3	0.5	0.625	0.29167	0.29167	0.524	0.45
18	1	0.45833	0.54167	0.375	0.29167	0.419	0.408
18	2	0.375	0.5	0.45833	0.375	0.335	0.404
18	3	0.5	0.45833	0.5	0.5	0.4265	0.367
19	1	0.29167	0.25	0.29167	0.20833	0.615	0.54
19	2	0.375	0.375	0.33333	0.20833	0.453	0.503
19	3	0.45833	0.625	0.16667	0.25	0.549	0.577
