sub_id	restudy_target	restudy_competitor	restudy_other	restudy_no_response	restudy_don_t_know	retprac_target	retprac_competitor	retprac_other	retprac_no_response	retprac_don_t_know	restudy_median_response_time	retprac_median_response_time	restudy_median_correct_response_latency	retprac_median_correct_response_latency
1	0.26389	0.45833	0.26389	0.01389	0.0	0.33333	0.38889	0.20833	0.06944	0.0	0.604	0.5845	0.604	0.5845
2	0.48611	0.40278	0.11111	0.0	0.0	0.43056	0.43056	0.13889	0.0	0.0	0.295	0.304	0.295	0.304
3	0.41667	0.375	0.19444	0.0	0.01389	0.52778	0.18056	0.19444	0.05556	0.04167	0.3635	0.3565	0.3635	0.3565
4	0.30556	0.375	0.27778	0.01389	0.02778	0.54167	0.27778	0.15278	0.0	0.02778	0.329	0.296	0.329	0.296
5	0.29167	0.43056	0.25	0.01389	0.01389	0.41667	0.36111	0.13889	0.05556	0.02778	0.459	0.4135	0.459	0.4135
6	0.29167	0.375	0.13889	0.0	0.19444	0.31944	0.41667	0.18056	0.0	0.08333	0.345	0.33	0.345	0.33
7	0.44444	0.30556	0.20833	0.01389	0.02778	0.54167	0.25	0.13889	0.04167	0.02778	0.3065	0.331	0.3065	0.331
8	0.47222	0.43056	0.09722	0.0	0.0	0.55556	0.41667	0.01389	0.01389	0.0	0.3605	0.3005	0.3605	0.3005
9	0.375	0.34722	0.25	0.01389	0.01389	0.51389	0.31944	0.15278	0.01389	0.0	0.423	0.406	0.423	0.406
10	0.44444	0.375	0.16667	0.01389	0.0	0.47222	0.375	0.15278	0.0	0.0	0.33899999999999997	0.3395	0.33899999999999997	0.3395
11	0.31944	0.26389	0.20833	0.15278	0.05556	0.38889	0.23611	0.29167	0.04167	0.04167	0.569	0.46299999999999997	0.569	0.46299999999999997
12	0.26389	0.52778	0.16667	0.04167	0.0	0.44444	0.23611	0.22222	0.09722	0.0	0.427	0.45	0.427	0.45
13	0.31944	0.30556	0.26389	0.08333	0.02778	0.41667	0.23611	0.26389	0.06944	0.01389	0.459	0.33	0.459	0.33
14	0.29167	0.33333	0.26389	0.05556	0.05556	0.34722	0.26389	0.30556	0.05556	0.02778	0.51	0.49	0.51	0.49
15	0.23611	0.34722	0.15278	0.08333	0.18056	0.41667	0.27778	0.09722	0.01389	0.19444	0.388	0.369	0.388	0.369
16	0.26389	0.34722	0.05556	0.04167	0.29167	0.41667	0.27778	0.11111	0.02778	0.16667	0.49	0.3645	0.49	0.3645
17	0.38889	0.375	0.13889	0.09722	0.0	0.48611	0.34722	0.15278	0.01389	0.0	0.583	0.529	0.583	0.529
18	0.44444	0.44444	0.09722	0.0	0.01389	0.5	0.38889	0.09722	0.01389	0.0	0.3845	0.40249999999999997	0.3845	0.40249999999999997
19	0.375	0.26389	0.31944	0.01389	0.02778	0.41667	0.22222	0.29167	0.05556	0.01389	0.549	0.5215000000000001	0.549	0.5215000000000001
total in count	482	510	261	47	68	611	425	238	46	48
total in percentage	0.35234	0.37281	0.19079	0.03436	0.04971	0.44664	0.31067	0.17398	0.03363	0.03509
